lon,lat,d,st
-86.4942,32.5004,0,AL
-86.5029,32.5071,0,AL
-86.4927,32.4863,1,AL
-86.4817,32.5141,0,AL
-86.5175,32.4969,1,AL
-86.4718,32.4884,2,AL
-86.5017,32.5240,1,AL
-86.5086,32.4769,0,AL
-86.4627,32.5101,0,AL
-86.5270,32.5118,1,AL
-86.4783,32.4717,2,AL
-86.4824,32.5320,1,AL
-86.5297,32.4830,1,AL
-86.4524,32.4926,1,AL
-86.5197,32.5310,1,AL
-86.5001,32.4620,0,AL
-86.4579,32.5262,0,AL
-87.7624,30.5489,0,AL
-87.7709,30.5557,0,AL
-87.7609,30.5348,0,AL
-87.7501,30.5627,0,AL
-87.7852,30.5454,1,AL
-87.7405,30.5369,0,AL
-87.7698,30.5726,1,AL
-87.7765,30.5254,1,AL
-87.7315,30.5586,1,AL
-87.7946,30.5604,1,AL
-87.7468,30.5203,1,AL
-87.7509,30.5806,0,AL
-87.7972,30.5316,0,AL
-87.7215,30.5412,0,AL
-87.7874,30.5795,0,AL
-87.7682,30.5105,0,AL
-87.7269,30.5747,0,AL
-87.8102,30.5506,0,AL
-87.7275,30.5190,0,AL
-87.7647,30.5925,0,AL
-87.7957,30.5146,1,AL
-87.7096,30.5550,2,AL
-87.8071,30.5757,1,AL
-87.7502,30.5021,1,AL
-87.7341,30.5914,1,AL
-87.8177,30.5337,1,AL
-87.7086,30.5275,4,AL
-87.7857,30.5969,4,AL
-87.7832,30.4991,4,AL
-87.7070,30.5740,2,AL
-87.8239,30.5629,4,AL
-87.7274,30.5021,4,AL
-87.7513,30.6047,4,AL
-87.8151,30.5137,4,AL
-87.6949,30.5441,4,AL
-87.8090,30.5924,3,AL
-87.7620,30.4889,2,AL
-87.7149,30.5940,1,AL
-87.8337,30.5432,1,AL
-87.7046,30.5112,2,AL
-87.7755,30.6111,2,AL
-85.3100,31.8440,4,AL
-85.3187,31.8508,4,AL
-85.3086,31.8299,3,AL
-85.2976,31.8578,4,AL
-85.3332,31.8406,4,AL
-85.2878,31.8320,4,AL
-85.3175,31.8677,4,AL
-85.3244,31.8206,0,AL
-85.2788,31.8537,0,AL
-85.3427,31.8555,0,AL
-87.1277,33.0309,4,AL
-87.1365,33.0377,4,AL
-87.1262,33.0168,4,AL
-87.1151,33.0447,4,AL
-87.1511,33.0274,2,AL
-87.1052,33.0189,4,AL
-87.1352,33.0546,4,AL
-87.1422,33.0074,2,AL
-86.5915,33.9552,4,AL
-86.6004,33.9620,2,AL
-86.5900,33.9412,1,AL
-86.5788,33.9690,1,AL
-86.6152,33.9518,2,AL
-86.5687,33.9432,1,AL
-86.5992,33.9789,1,AL
-86.6062,33.9318,1,AL
-86.5595,33.9649,1,AL
-86.6249,33.9667,0,AL
-86.5753,33.9266,1,AL
-86.5795,33.9869,0,AL
-86.6276,33.9379,1,AL
-86.5490,33.9475,2,AL
-86.6174,33.9859,2,AL
-86.5975,33.9168,2,AL
-85.7012,32.1163,4,AL
-85.7099,32.1231,4,AL
-85.6997,32.1022,4,AL
-85.6887,32.1301,4,AL
-85.7244,32.1128,4,AL
-86.6535,31.7735,4,AL
-86.6622,31.7803,4,AL
-86.6521,31.7595,2,AL
-86.6412,31.7873,2,AL
-86.6767,31.7701,4,AL
-86.6314,31.7615,2,AL
-86.6610,31.7972,4,AL
-86.6679,31.7501,4,AL
-85.8194,33.7255,4,AL
-85.8283,33.7322,4,AL
-85.8180,33.7114,4,AL
-85.8068,33.7392,4,AL
-85.8431,33.7220,4,AL
-85.7968,33.7135,4,AL
-85.8271,33.7491,4,AL
-85.8341,33.7020,4,AL
-85.7875,33.7352,4,AL
-85.8528,33.7369,4,AL
-85.8033,33.6968,2,AL
-85.8075,33.7571,4,AL
-85.8555,33.7081,4,AL
-85.7771,33.7177,4,AL
-85.8453,33.7561,4,AL
-85.8254,33.6871,1,AL
-85.7827,33.7512,1,AL
-85.8690,33.7272,2,AL
-85.7833,33.6955,1,AL
-85.8219,33.7690,1,AL
-85.8539,33.6911,1,AL
-85.7648,33.7316,0,AL
-85.8657,33.7522,1,AL
-85.8068,33.6787,1,AL
-85.7902,33.7680,4,AL
-85.8767,33.7103,4,AL
-85.7638,33.7041,4,AL
-85.8436,33.7734,4,AL
-85.8410,33.6757,4,AL
-85.7621,33.7505,4,AL
-85.8831,33.7394,2,AL
-85.7832,33.6786,4,AL
-85.2665,32.8604,0,AL
-85.2753,32.8672,1,AL
-85.2650,32.8464,0,AL
-85.2539,32.8742,0,AL
-85.2899,32.8570,0,AL
-85.2440,32.8484,1,AL
-85.2740,32.8841,0,AL
-85.2810,32.8370,1,AL
-85.2348,32.8701,0,AL
-85.6292,34.1793,2,AL
-85.6381,34.1861,0,AL
-85.6277,34.1652,0,AL
-85.6165,34.1931,1,AL
-85.6530,34.1758,1,AL
-85.6064,34.1673,2,AL
-85.6369,34.2030,2,AL
-85.6439,34.1559,0,AL
-85.5971,34.1890,1,AL
-86.6874,32.8775,4,AL
-86.6962,32.8843,4,AL
-86.6859,32.8635,4,AL
-86.6749,32.8913,4,AL
-86.7109,32.8741,2,AL
-86.6649,32.8655,4,AL
-86.6950,32.9012,4,AL
-86.7019,32.8541,4,AL
-86.6558,32.8872,4,AL
-86.7204,32.8890,4,AL
-86.6714,32.8489,0,AL
-86.6756,32.9092,0,AL
-88.2642,32.0166,4,AL
-88.2729,32.0233,4,AL
-88.2627,32.0025,4,AL
-88.2517,32.0303,4,AL
-88.2874,32.0131,4,AL
-87.8157,31.6857,4,AL
-87.8243,31.6924,2,AL
-87.8142,31.6716,4,AL
-87.8033,31.6994,4,AL
-87.8388,31.6822,4,AL
-87.7935,31.6737,4,AL
-87.8231,31.7093,4,AL
-87.8300,31.6622,1,AL
-87.7845,31.6954,1,AL
-87.8483,31.6971,1,AL
-85.8202,33.2724,1,AL
-85.8290,33.2792,1,AL
-85.8187,33.2583,1,AL
-85.8076,33.2862,1,AL
-85.8438,33.2689,2,AL
-85.4943,33.6298,2,AL
-85.5032,33.6365,2,AL
-85.4928,33.6157,0,AL
-85.4817,33.6435,1,AL
-85.5180,33.6263,1,AL
-85.9047,31.3544,0,AL
-85.9133,31.3612,1,AL
-85.9033,31.3403,1,AL
-85.8924,31.3682,0,AL
-85.9278,31.3509,0,AL
-85.8826,31.3424,0,AL
-85.9122,31.3781,1,AL
-85.9190,31.3310,1,AL
-85.8736,31.3641,1,AL
-85.9372,31.3659,0,AL
-85.8890,31.3258,1,AL
-85.8931,31.3861,1,AL
-85.9398,31.3371,1,AL
-85.8635,31.3467,1,AL
-85.9299,31.3850,1,AL
-85.9105,31.3160,0,AL
-87.6852,34.7234,4,AL
-87.6941,34.7301,4,AL
-87.6836,34.7093,4,AL
-87.6723,34.7371,4,AL
-87.7091,34.7199,4,AL
-87.6622,34.7114,4,AL
-87.6929,34.7470,2,AL
-87.7000,34.6999,4,AL
-87.6528,34.7331,4,AL
-87.7189,34.7348,4,AL
-87.6688,34.6947,4,AL
-87.6731,34.7550,4,AL
-87.7216,34.7060,4,AL
-87.6423,34.7156,4,AL
-87.7113,34.7540,4,AL
-86.9965,31.4187,1,AL
-87.0051,31.4254,0,AL
-86.9950,31.4046,0,AL
-86.9841,31.4324,0,AL
-87.0196,31.4152,0,AL
-86.9744,31.4067,0,AL
-86.1550,32.9759,0,AL
-86.1638,32.9827,0,AL
-86.1536,32.9618,0,AL
-86.1425,32.9897,0,AL
-86.4110,31.2824,1,AL
-86.4196,31.2892,1,AL
-86.4095,31.2684,3,AL
-86.3986,31.2962,2,AL
-86.4340,31.2790,0,AL
-86.3889,31.2704,0,AL
-86.4184,31.3061,0,AL
-86.4252,31.2590,0,AL
-86.3799,31.2922,0,AL
-86.4434,31.2939,0,AL
-86.3953,31.2538,0,AL
-86.3993,31.3141,0,AL
-86.4460,31.2651,1,AL
-86.3697,31.2747,1,AL
-86.2971,31.7435,1,AL
-86.3058,31.7502,1,AL
-86.2956,31.7294,0,AL
-86.2847,31.7572,1,AL
-86.3202,31.7400,1,AL
-86.2749,31.7315,1,AL
-86.3046,31.7671,1,AL
-86.8319,34.1624,0,AL
-86.8408,34.1691,1,AL
-86.8304,34.1483,1,AL
-86.8191,34.1761,1,AL
-86.8557,34.1589,1,AL
-86.8091,34.1504,1,AL
-86.8395,34.1860,0,AL
-86.8466,34.1389,2,AL
-86.7998,34.1721,0,AL
-86.8654,34.1738,1,AL
-86.8157,34.1337,1,AL
-86.8199,34.1940,1,AL
-86.8681,34.1450,2,AL
-86.7893,34.1546,1,AL
-86.8579,34.1930,0,AL
-86.8379,34.1240,2,AL
-86.7949,34.1881,0,AL
-86.8816,34.1641,4,AL
-86.7955,34.1324,4,AL
-86.8343,34.2059,4,AL
-86.8665,34.1280,4,AL
-86.7770,34.1685,2,AL
-85.6413,31.3833,2,AL
-85.6499,31.3901,4,AL
-85.6398,31.3693,4,AL
-85.6289,31.3971,2,AL
-85.6643,31.3799,4,AL
-85.6192,31.3713,4,AL
-85.6487,31.4070,4,AL
-85.6556,31.3599,4,AL
-85.6101,31.3930,4,AL
-85.6738,31.3948,4,AL
-85.6256,31.3547,0,AL
-85.6296,31.4150,1,AL
-85.6764,31.3660,1,AL
-85.6000,31.3756,1,AL
-87.0350,32.4088,1,AL
-87.0437,32.4156,1,AL
-87.0335,32.3947,1,AL
-87.0225,32.4226,1,AL
-87.0583,32.4053,0,AL
-87.0126,32.3968,4,AL
-87.0425,32.4325,4,AL
-87.0494,32.3853,4,AL
-87.0035,32.4185,4,AL
-87.0678,32.4203,4,AL
-87.0191,32.3802,4,AL
-87.0232,32.4405,2,AL
-87.0705,32.3914,2,AL
-86.9932,32.4011,2,AL
-87.0604,32.4394,4,AL
-87.0409,32.3704,4,AL
-86.9987,32.4346,4,AL
-85.8172,34.4551,2,AL
-85.8262,34.4619,4,AL
-85.8157,34.4410,4,AL
-85.8044,34.4689,4,AL
-85.8411,34.4516,4,AL
-85.7943,34.4431,4,AL
-85.8249,34.4788,4,AL
-85.8320,34.4316,4,AL
-85.7850,34.4648,4,AL
-85.8508,34.4666,2,AL
-85.8010,34.4265,4,AL
-85.8052,34.4868,4,AL
-85.8536,34.4377,2,AL
-85.7745,34.4474,4,AL
-85.8433,34.4857,4,AL
-85.8232,34.4167,2,AL
-85.7801,34.4809,4,AL
-85.8672,34.4568,4,AL
-85.7807,34.4252,1,AL
-85.8196,34.4987,0,AL
-85.8520,34.4208,0,AL
-86.2256,32.5597,4,AL
-86.2344,32.5664,4,AL
-86.2242,32.5456,4,AL
-86.2131,32.5734,4,AL
-86.2490,32.5562,4,AL
-86.2033,32.5477,4,AL
-86.2332,32.5833,2,AL
-86.2401,32.5362,4,AL
-86.1941,32.5694,4,AL
-86.2585,32.5711,4,AL
-86.2097,32.5310,4,AL
-86.2139,32.5913,2,AL
-86.2612,32.5423,0,AL
-86.1839,32.5519,2,AL
-86.2512,32.5903,1,AL
-86.2316,32.5212,0,AL
-86.1894,32.5854,2,AL
-86.2745,32.5614,1,AL
-86.1900,32.5297,0,AL
-86.2280,32.6032,1,AL
-87.2821,31.0887,4,AL
-87.2907,31.0955,4,AL
-87.2806,31.0746,4,AL
-87.2697,31.1025,4,AL
-87.3051,31.0853,4,AL
-87.2600,31.0767,4,AL
-87.2895,31.1124,4,AL
-87.2963,31.0653,4,AL
-87.2510,31.0984,4,AL
-87.3144,31.1002,2,AL
-86.0254,34.0137,0,AL
-86.0343,34.0204,0,AL
-86.0239,33.9996,1,AL
-86.0127,34.0274,0,AL
-86.0492,34.0102,0,AL
-86.0026,34.0017,0,AL
-86.0331,34.0373,0,AL
-86.0401,33.9902,0,AL
-85.9933,34.0234,0,AL
-86.0588,34.0251,2,AL
-86.0092,33.9851,1,AL
-86.0134,34.0453,0,AL
-86.0616,33.9963,0,AL
-85.9829,34.0060,1,AL
-86.0514,34.0443,1,AL
-86.0314,33.9753,1,AL
-85.9885,34.0395,0,AL
-86.0751,34.0154,1,AL
-85.9891,33.9838,1,AL
-86.0278,34.0572,1,AL
-86.0600,33.9794,1,AL
-85.9706,34.0198,1,AL
-86.0718,34.0405,1,AL
-86.0127,33.9669,1,AL
-85.9960,34.0562,1,AL
-86.0829,33.9985,0,AL
-85.9696,33.9923,2,AL
-86.0496,34.0616,1,AL
-86.0470,33.9639,4,AL
-85.9679,34.0387,2,AL
-86.0893,34.0277,4,AL
-85.9891,33.9669,4,AL
-87.7704,33.7264,2,AL
-87.7792,33.7332,1,AL
-87.7689,33.7123,2,AL
-87.7577,33.7402,0,AL
-87.7940,33.7229,0,AL
-87.7477,33.7144,0,AL
-87.7936,34.4605,1,AL
-87.8025,34.4672,4,AL
-87.7921,34.4464,4,AL
-87.7808,34.4742,4,AL
-87.8175,34.4570,4,AL
-87.7707,34.4485,4,AL
-87.8013,34.4841,4,AL
-87.8084,34.4370,4,AL
-87.7614,34.4702,4,AL
-87.8272,34.4719,4,AL
-87.7773,34.4318,4,AL
-85.7888,31.0943,1,AL
-85.7975,31.1010,1,AL
-85.7874,31.0802,1,AL
-85.7765,31.1080,1,AL
-85.8118,31.0908,1,AL
-85.7668,31.0823,1,AL
-85.7963,31.1179,0,AL
-87.9240,32.8305,0,AL
-87.9328,32.8373,1,AL
-87.9225,32.8164,0,AL
-87.9115,32.8443,1,AL
-87.9474,32.8270,1,AL
-87.6261,32.7758,1,AL
-87.6349,32.7826,1,AL
-87.6246,32.7617,1,AL
-87.6136,32.7895,2,AL
-87.6495,32.7723,1,AL
-87.6036,32.7638,1,AL
-87.6336,32.7995,1,AL
-85.2688,31.4786,1,AL
-85.2775,31.4853,1,AL
-85.2674,31.4645,1,AL
-85.2565,31.4923,1,AL
-85.2919,31.4751,1,AL
-85.2467,31.4666,0,AL
-85.3912,31.2046,0,AL
-85.3998,31.2113,1,AL
-85.3898,31.1905,1,AL
-85.3789,31.2183,1,AL
-85.4142,31.2011,1,AL
-85.3692,31.1925,1,AL
-85.3987,31.2282,0,AL
-85.4055,31.1811,1,AL
-85.3602,31.2143,1,AL
-85.4236,31.2160,0,AL
-85.3756,31.1759,1,AL
-85.3796,31.2362,1,AL
-85.4263,31.1872,1,AL
-85.3500,31.1968,1,AL
-85.4164,31.2352,2,AL
-85.3970,31.1661,0,AL
-85.3555,31.2303,0,AL
-85.4394,31.2063,0,AL
-85.3561,31.1746,2,AL
-85.3936,31.2481,1,AL
-85.4247,31.1702,2,AL
-85.3381,31.2107,1,AL
-85.4362,31.2313,1,AL
-85.3789,31.1578,1,AL
-85.3627,31.2471,1,AL
-85.4469,31.1894,1,AL
-85.9387,34.7320,4,AL
-85.9477,34.7387,4,AL
-85.9372,34.7179,2,AL
-85.9259,34.7457,4,AL
-85.9627,34.7285,4,AL
-85.9157,34.7200,4,AL
-85.9464,34.7556,2,AL
-85.9535,34.7085,4,AL
-85.9064,34.7417,4,AL
-85.9724,34.7434,4,AL
-85.9224,34.7033,4,AL
-85.9266,34.7636,4,AL
-85.9752,34.7146,4,AL
-85.8958,34.7242,4,AL
-85.9649,34.7626,4,AL
-85.9448,34.6936,4,AL
-86.8147,33.5186,0,AL
-86.8235,33.5254,0,AL
-86.8132,33.5045,0,AL
-86.8020,33.5323,0,AL
-86.8383,33.5151,0,AL
-86.7921,33.5066,0,AL
-86.8223,33.5423,0,AL
-86.8293,33.4951,0,AL
-86.7828,33.5283,0,AL
-86.8479,33.5300,0,AL
-86.7986,33.4900,0,AL
-86.8028,33.5502,0,AL
-86.8506,33.5012,0,AL
-86.7724,33.5109,0,AL
-86.8405,33.5492,0,AL
-86.8207,33.4802,2,AL
-86.7780,33.5444,1,AL
-86.8641,33.5203,2,AL
-86.7786,33.4887,0,AL
-86.8171,33.5621,0,AL
-86.8491,33.4843,1,AL
-86.7602,33.5247,0,AL
-86.8609,33.5454,0,AL
-86.8021,33.4718,0,AL
-86.7855,33.5611,0,AL
-86.8718,33.5034,0,AL
-86.7592,33.4972,0,AL
-86.8387,33.5665,0,AL
-86.8362,33.4688,0,AL
-86.7575,33.5437,0,AL
-86.8782,33.5326,0,AL
-86.7786,33.4718,2,AL
-86.8032,33.5744,0,AL
-86.8692,33.4834,0,AL
-86.7450,33.5138,0,AL
-86.8629,33.5620,0,AL
-86.8143,33.4586,0,AL
-86.7657,33.5637,1,AL
-86.8883,33.5129,1,AL
-86.7550,33.4808,1,AL
-86.8283,33.5808,1,AL
-86.8556,33.4644,1,AL
-86.7397,33.5357,0,AL
-86.8847,33.5485,0,AL
-86.7870,33.4564,0,AL
-86.7844,33.5807,0,AL
-86.8882,33.4896,0,AL
-86.7361,33.4984,0,AL
-86.8567,33.5784,0,AL
-86.8323,33.4502,2,AL
-86.7455,33.5596,0,AL
-86.8997,33.5274,1,AL
-86.7586,33.4637,1,AL
-86.8115,33.5914,0,AL
-86.8766,33.4663,0,AL
-86.7258,33.5224,1,AL
-86.8839,33.5663,1,AL
-86.8022,33.4438,2,AL
-86.7629,33.5813,2,AL
-86.9045,33.5014,1,AL
-86.7339,33.4804,0,AL
-86.8436,33.5929,0,AL
-86.8539,33.4470,0,AL
-86.7270,33.5496,0,AL
-86.9051,33.5453,0,AL
-86.7693,33.4474,0,AL
-86.7903,33.5973,0,AL
-86.8970,33.4740,0,AL
-86.7171,33.5050,0,AL
-86.8761,33.5840,1,AL
-86.8225,33.4352,1,AL
-86.7408,33.5761,0,AL
-86.9165,33.5178,1,AL
-86.7384,33.4615,0,AL
-86.8247,33.6042,1,AL
-86.8771,33.4494,1,AL
-86.7119,33.5346,0,AL
-86.9040,33.5650,1,AL
-86.7862,33.4335,1,AL
-86.7665,33.5979,4,AL
-86.9151,33.4871,4,AL
-86.7145,33.4851,4,AL
-86.8617,33.6002,4,AL
-86.8464,33.4314,1,AL
-86.7201,33.5653,1,AL
-86.9229,33.5375,1,AL
-86.7498,33.4433,1,AL
-86.8014,33.6112,0,AL
-86.9000,33.4574,1,AL
-86.7016,33.5156,1,AL
-86.8961,33.5849,1,AL
-86.8083,33.4234,1,AL
-86.7418,33.5928,0,AL
-86.9292,33.5048,0,AL
-86.7186,33.4640,2,AL
-86.8415,33.6135,0,AL
-86.8721,33.4331,0,AL
-86.7025,33.5494,0,AL
-86.9230,33.5592,0,AL
-86.7675,33.4272,0,AL
-86.7752,33.6130,1,AL
-86.9208,33.4710,0,AL
-86.6973,33.4938,0,AL
-86.8815,33.6034,1,AL
-86.8342,33.4179,0,AL
-86.7183,33.5821,1,AL
-86.9379,33.5261,1,AL
-86.7295,33.4434,0,AL
-86.8165,33.6225,2,AL
-86.8979,33.4406,1,AL
-86.6895,33.5293,1,AL
-86.9161,33.5815,1,AL
-86.7908,33.4147,0,AL
-86.7478,33.6091,0,AL
-86.9379,33.4894,0,AL
-86.6997,33.4706,0,AL
-86.8608,33.6192,0,AL
-86.8624,33.4180,0,AL
-86.6975,33.5661,1,AL
-86.9401,33.5497,1,AL
-86.7471,33.4246,1,AL
-86.7882,33.6264,2,AL
-86.9219,33.4538,0,AL
-86.6825,33.5060,1,AL
-86.9022,33.6027,0,AL
-86.8183,33.4068,1,AL
-86.7211,33.5993,0,AL
-86.9496,33.5117,1,AL
-86.7092,33.4474,1,AL
-86.8348,33.6309,1,AL
-86.8911,33.4241,3,AL
-86.6812,33.5454,3,AL
-86.9352,33.5743,0,AL
-86.7707,33.4093,1,AL
-86.7583,33.6244,1,AL
-86.9424,33.4722,1,AL
-86.6824,33.4807,1,AL
-86.8818,33.6214,1,AL
-86.8486,33.4046,1,AL
-86.6969,33.5838,2,AL
-86.9549,33.5369,0,AL
-86.7258,33.4258,1,AL
-86.8050,33.6375,1,AL
-86.9185,33.4361,1,AL
-86.6708,33.5209,1,AL
-86.9231,33.5982,1,AL
-86.7992,33.3985,1,AL
-86.7285,33.6162,1,AL
-86.9579,33.4951,1,AL
-86.6896,33.4551,1,AL
-86.8556,33.6362,1,AL
-86.8801,33.4085,0,AL
-86.6768,33.5631,0,AL
-86.9529,33.5636,1,AL
-86.7490,33.4073,0,AL
-86.7728,33.6381,0,AL
-86.9428,33.4539,2,AL
-86.6673,33.4941,0,AL
-86.9038,33.6200,1,AL
-86.8312,33.3933,1,AL
-86.7006,33.6020,1,AL
-86.9668,33.5214,4,AL
-86.7044,33.4306,4,AL
-86.8247,33.6460,2,AL
-86.9108,33.4187,2,AL
-86.6624,33.5382,4,AL
-86.9432,33.5901,4,AL
-86.7777,33.3931,4,AL
-86.7400,33.6323,4,AL
-86.9623,33.4767,4,AL
-86.6715,33.4662,4,AL
-86.8781,33.6382,4,AL
-86.8650,33.3943,2,AL
-86.6765,33.5821,1,AL
-86.9684,33.5497,1,AL
-86.7263,33.4087,1,AL
-86.7908,33.6498,1,AL
-86.9389,33.4351,1,AL
-86.6550,33.5102,1,AL
-86.9259,33.6150,1,AL
-86.8108,33.3845,1,AL
-86.7086,33.6200,1,AL
-88.1096,33.7628,4,AL
-88.1185,33.7695,4,AL
-88.1082,33.7487,4,AL
-88.0970,33.7765,4,AL
-88.1333,33.7593,4,AL
-87.6088,34.8662,0,AL
-87.6177,34.8729,1,AL
-87.6073,34.8521,1,AL
-87.5959,34.8799,0,AL
-87.6328,34.8627,0,AL
-87.5858,34.8542,1,AL
-87.6165,34.8898,0,AL
-87.6236,34.8427,0,AL
-87.5764,34.8759,0,AL
-87.6426,34.8776,0,AL
-87.5924,34.8375,0,AL
-87.5967,34.8978,2,AL
-87.6453,34.8488,1,AL
-87.5658,34.8584,1,AL
-87.6350,34.8968,1,AL
-87.6148,34.8278,1,AL
-87.5715,34.8920,1,AL
-87.6590,34.8679,1,AL
-87.5721,34.8363,1,AL
-87.6112,34.9097,1,AL
-87.6437,34.8318,2,AL
-87.5534,34.8723,2,AL
-87.6557,34.8930,2,AL
-87.5959,34.8194,2,AL
-87.5791,34.9087,0,AL
-87.2724,34.5437,0,AL
-87.2814,34.5504,0,AL
-87.2709,34.5296,0,AL
-87.2596,34.5574,1,AL
-87.2963,34.5402,0,AL
-87.2495,34.5317,0,AL
-87.2801,34.5673,2,AL
-87.2872,34.5202,1,AL
-87.2402,34.5534,1,AL
-87.3061,34.5551,1,AL
-87.2561,34.5150,2,AL
-85.3458,32.5881,0,AL
-85.3546,32.5948,1,AL
-85.3444,32.5740,1,AL
-85.3333,32.6018,0,AL
-85.3692,32.5846,1,AL
-85.3234,32.5761,1,AL
-85.3534,32.6117,1,AL
-85.3603,32.5646,0,AL
-85.3143,32.5978,1,AL
-85.3787,32.5995,0,AL
-85.3299,32.5595,0,AL
-85.3341,32.6197,1,AL
-85.3814,32.5707,0,AL
-85.3040,32.5804,2,AL
-85.3714,32.6187,1,AL
-85.3517,32.5497,0,AL
-85.3095,32.6139,4,AL
-85.3947,32.5898,4,AL
-85.3101,32.5582,4,AL
-85.3482,32.6316,4,AL
-85.3798,32.5538,4,AL
-85.2919,32.5942,4,AL
-85.3915,32.6149,4,AL
-85.3333,32.5413,4,AL
-85.3169,32.6306,4,AL
-85.4024,32.5729,4,AL
-85.2909,32.5667,2,AL
-85.3696,32.6360,4,AL
-85.3671,32.5383,4,AL
-85.2893,32.6131,4,AL
-85.4087,32.6021,4,AL
-85.3101,32.5413,4,AL
-85.3345,32.6438,3,AL
-85.3997,32.5529,4,AL
-85.2769,32.5833,4,AL
-85.3935,32.6315,4,AL
-85.3455,32.5281,4,AL
-85.2973,32.6331,4,AL
-85.4187,32.5824,4,AL
-85.2868,32.5503,4,AL
-85.3593,32.6503,2,AL
-85.3863,32.5339,4,AL
-86.9390,34.8156,4,AL
-86.9480,34.8224,4,AL
-86.9375,34.8015,4,AL
-86.9261,34.8294,4,AL
-86.9630,34.8121,4,AL
-86.9160,34.8036,3,AL
-86.9467,34.8393,4,AL
-86.9538,34.7921,0,AL
-86.9066,34.8253,1,AL
-86.9727,34.8271,1,AL
-86.9226,34.7870,1,AL
-86.9269,34.8473,1,AL
-86.9755,34.7982,1,AL
-86.8961,34.8079,1,AL
-86.9652,34.8462,1,AL
-86.9450,34.7772,0,AL
-86.9017,34.8414,0,AL
-86.9892,34.8173,0,AL
-86.9023,34.7857,0,AL
-86.9414,34.8592,1,AL
-86.9739,34.7813,1,AL
-86.8837,34.8217,1,AL
-86.9859,34.8424,1,AL
-86.6187,32.1624,1,AL
-86.6274,32.1692,1,AL
-86.6172,32.1483,1,AL
-86.6062,32.1762,0,AL
-86.6420,32.1589,0,AL
-85.7150,32.4257,0,AL
-85.7237,32.4325,0,AL
-85.7135,32.4117,1,AL
-85.7025,32.4395,0,AL
-85.7383,32.4223,1,AL
-85.6927,32.4137,1,AL
-85.7225,32.4494,1,AL
-85.7295,32.4023,0,AL
-85.6835,32.4354,0,AL
-85.7479,32.4372,2,AL
-85.6991,32.3971,1,AL
-85.7032,32.4574,0,AL
-85.7505,32.4084,1,AL
-86.6132,34.7464,0,AL
-86.6222,34.7531,0,AL
-86.6117,34.7323,0,AL
-86.6004,34.7601,0,AL
-86.6372,34.7429,0,AL
-86.5903,34.7344,1,AL
-86.6210,34.7700,0,AL
-86.6281,34.7229,0,AL
-86.5809,34.7561,0,AL
-86.6470,34.7578,0,AL
-86.5969,34.7178,0,AL
-86.6012,34.7780,1,AL
-86.6497,34.7290,0,AL
-86.5704,34.7387,0,AL
-86.6394,34.7770,0,AL
-86.6193,34.7080,0,AL
-86.5760,34.7722,2,AL
-86.6634,34.7481,3,AL
-86.5766,34.7165,0,AL
-86.6157,34.7899,1,AL
-86.6481,34.7121,1,AL
-86.5580,34.7525,0,AL
-86.6601,34.7732,1,AL
-86.6004,34.6996,1,AL
-86.5836,34.7889,1,AL
-86.6712,34.7312,0,AL
-86.5569,34.7250,0,AL
-86.6376,34.7943,0,AL
-86.6350,34.6966,0,AL
-86.5552,34.7714,0,AL
-86.6777,34.7604,1,AL
-86.5766,34.6996,1,AL
-86.6016,34.8021,1,AL
-86.6685,34.7112,1,AL
-86.5425,34.7416,1,AL
-86.6621,34.7898,1,AL
-86.6129,34.6864,1,AL
-86.5635,34.7914,1,AL
-86.6879,34.7407,1,AL
-86.5527,34.7086,1,AL
-86.6270,34.8086,0,AL
-86.6547,34.6922,0,AL
-86.5372,34.7635,1,AL
-86.6842,34.7763,0,AL
-86.5852,34.6842,1,AL
-86.5825,34.8085,0,AL
-86.6878,34.7173,1,AL
-86.5335,34.7262,1,AL
-86.6559,34.8062,0,AL
-86.6311,34.6780,0,AL
-86.5431,34.7873,0,AL
-86.6995,34.7552,0,AL
-86.5563,34.6915,0,AL
-86.6100,34.8191,1,AL
-86.6760,34.6941,0,AL
-86.5231,34.7502,0,AL
-86.6834,34.7941,0,AL
-86.6005,34.6716,2,AL
-86.5607,34.8091,0,AL
-86.7043,34.7292,0,AL
-86.5312,34.7082,0,AL
-86.6426,34.8207,1,AL
-86.6530,34.6748,1,AL
-86.5243,34.7774,1,AL
-86.7050,34.7731,1,AL
-86.5672,34.6752,1,AL
-86.5885,34.8250,1,AL
-86.6968,34.7018,0,AL
-86.5142,34.7328,1,AL
-86.6755,34.8118,1,AL
-86.6211,34.6630,0,AL
-86.5383,34.8039,1,AL
-86.7165,34.7456,0,AL
-86.5359,34.6893,0,AL
-86.6234,34.8320,1,AL
-86.6765,34.6772,1,AL
-86.5089,34.7624,1,AL
-86.7039,34.7928,1,AL
-86.5843,34.6613,4,AL
-86.5643,34.8257,4,AL
-86.7151,34.7149,4,AL
-86.5116,34.7129,4,AL
-86.6609,34.8280,4,AL
-86.6454,34.6592,4,AL
-86.5173,34.7931,4,AL
-86.7230,34.7653,4,AL
-86.5474,34.6711,1,AL
-86.5997,34.8390,1,AL
-86.6998,34.6852,1,AL
-86.4985,34.7434,1,AL
-86.6959,34.8127,1,AL
-87.8006,32.3405,4,AL
-87.8094,32.3472,4,AL
-87.7992,32.3264,4,AL
